Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
7501206643587,PINZA DE PRESION 10´´,0.0,155.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2754,PINZA ELECTRICISTA,4.0,110.0,0.0,LION TOOLS,2026-09-08 00:37:17
7506240642794,PINZA ELECTRICISTA,1.0,200.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206638514,PINZA ELECTRICISTA,0.0,140.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240643029,PINZA ELECTRICISTA,0.0,130.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2755,PINZA ELECTRICISTA,0.0,130.0,0.0,LION TOOLS,2026-09-08 00:37:17
2756,PINZA ELECTRICISTA,0.0,160.0,0.0,LION TOOLS,2026-09-08 00:37:17
2761,PINZA MINI,0.0,77.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2764,PINZA MINI PUNTA AGUJA,0.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7502256880397,PINZA PARA ROPA 50PZS,4.0,25.0,0.0,ASGA,2026-09-08 00:37:17
7502256880380,PINZA PARA ROPA DE 36PZS,3.0,25.0,0.0,ASGA,2026-09-08 00:37:17
7501206629017,PINZA PELA CABLE,0.0,140.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
3095,Pinza Presion Curva 10,1.0,100.0,70.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
3096,PINZA PRESION RECTA,1.0,110.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
3094,Pinza Presion Recta 10,0.0,130.0,120.0,LION TOOLS,2026-09-08 00:37:17
3097,PINZA PRESION RECTA 5,1.0,80.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206641200,PINZA PROFEDCIONAL DE ELECTRICISTA,0.0,210.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2758,PINZA PUNTA Y CORTE,0.0,110.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
2759,PINZA PUNTA Y CORTE,0.0,105.0,0.0,LION TOOLS,2026-09-08 00:37:17
143,Pinza Ropa 50pzs,1.0,25.0,20.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7502256880403,PINZAS 100PZ,3.0,45.0,0.0,ASGA,2026-09-09 21:08:21
PIOLA3,Piola 1 Kg Azul,2.0,200.0,0.0,PUEBLA,2026-09-08 00:37:17
PIOLA2,Piola 1/2 Azul,0.0,100.0,0.0,PUEBLA,2026-09-08 00:37:17
PIOLA4,PIOLA 1/2 K ROJO,1.0,100.0,0.0,HUAJUAPAN,2026-09-08 00:37:17
PIOLA1,Piola 1/4,0.0,50.0,0.0,FERREPAT,2026-09-08 00:37:17
PIOLACAF,PIOLA CAFE CHICA,2.0,60.0,0.0,ASGA,2026-09-08 00:37:17
PIOLACAFE,PIOLA CAFE GRANDE,0.0,120.0,0.0,ASGA,2026-09-08 00:37:17
PDA 1/4,Piola Delgada Azul 1/4,3.0,60.0,0.0,MEXICO,2026-09-08 00:37:17
PIOLA01,PIOLA GRUESA 1,2.0,60.0,0.0,PUEBLA,2026-09-08 00:37:17
PIOLA02,PIOLA GRUESA 2,3.0,120.0,0.0,PUEBLA,2026-09-08 00:37:17
PIOLA03,PIOLA GRUESA 3,0.0,200.0,0.0,PUEBLA,2026-09-08 00:37:17
PIOLAVERD,PIOLA VERDE,1.0,120.0,0.0,ASGA,2026-09-08 00:37:17
8797,PISTOLA CALAFATEADORA,1.0,90.0,0.0,LION TOOLS,2026-09-08 00:37:17
7501206660676,PISTOLA CALAFATEADORA TRUPER,0.0,85.0,0.0,- Sin Departamento - (Eliminado 13/07/2025),2026-09-08 00:37:17
7724,PISTOLA ELECTRICA SANTUL,0.0,100.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
1890,PISTOLA PARA JARDIN,1.0,40.0,30.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
1889,Pistola Para Jardin De Plastico 7 Funciones,0.0,50.0,30.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206653845,PISTOLA PLASTICA PARA RIEGO,0.0,70.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
